id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m,irr
9381,0.630704998970032,31.7877235412598,2010,LSMS_UGA2009,2.02752954268944,23.8,22.1,22.9,1376,52,107,26,29,0.0
9382,0.785143971443176,30.2475070953369,2010,LSMS_UGA2009,0.572997479455713,24.5,22.7,23.4,1503,49,96,26,28,0.0
9383,1.02071797847748,31.1242141723633,2010,LSMS_UGA2009,0.292865378388475,24.9,22.8,23.8,1427,50,108,24,29,0.0
9384,0.802708029747009,34.3096466064453,2010,LSMS_UGA2009,0.994101230521226,24.5,21.7,23.1,1686,49,76,27,25,0.0
9385,2.50530600547791,32.3839073181152,2010,LSMS_UGA2009,0.411841938358793,26.9,24.0,25.4,1444,47,83,23,29,0.0
9386,0.0148299997672439,30.5203266143799,2010,LSMS_UGA2009,8.64868070553466,22.8,21.4,22.1,1495,51,104,31,27,0.0
9387,0.696134984493256,34.0029640197754,2010,LSMS_UGA2009,0.220348553007252,25.2,22.6,24.0,1670,44,77,21,26,0.0
9388,0.8838210105896,34.3841171264648,2010,LSMS_UGA2009,0.445808283790446,22.5,19.9,21.2,1804,51,117,24,31,0.0
9389,0.869543015956879,34.3812675476074,2010,LSMS_UGA2009,0.247105163015276,23.0,20.4,21.8,1761,51,114,28,30,0.0
9390,-0.52835601568222,29.9541797637939,2010,LSMS_UGA2009,0.929965667261791,23.1,21.7,22.5,1637,48,106,26,28,0.0
9391,3.34775996208191,31.1935329437256,2010,LSMS_UGA2009,0.386101817211369,27.9,24.8,26.2,1315,48,76,21,24,0.0
9392,0.265680998563766,32.4627532958984,2010,LSMS_UGA2009,3.60361696063944,23.9,21.5,22.8,1478,48,97,24,28,0.0
9393,2.52995300292969,30.7862167358398,2010,LSMS_UGA2009,0.177915717370999,23.6,20.8,22.0,1403,48,99,24,30,0.0
9394,2.3648579120636,32.6032752990723,2010,LSMS_UGA2009,0.391023554661536,26.7,23.9,25.2,1438,50,75,22,29,0.0
9395,0.630704998970032,31.7877235412598,2010,LSMS_UGA2009,2.29681081007789,23.8,22.1,22.9,1376,52,107,26,29,0.0
