id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m
59,7.91724465814,5.77211251871,2011,LSMS_NGA2010,1.55695335367752,29.4,24.6,26.3,1240,43,70,23,21
60,7.65536420745,7.28227086573,2011,LSMS_NGA2010,8.88494002665482,29.5,24.8,26.5,1329,41,74,22,22
61,7.23891062262,7.23659197226,2011,LSMS_NGA2010,3.52112676056338,30.1,25.3,27.3,1563,44,91,20,25
62,7.48888422073,7.65083462038,2011,LSMS_NGA2010,4.44444444444445,29.1,24.7,26.2,1372,41,78,21,23
63,8.43075126585,4.57397047246,2011,LSMS_NGA2010,7.06339396079817,30.6,25.4,27.3,1119,42,53,21,21
64,10.8857336676,5.862466598,2011,LSMS_NGA2010,1.96147659958417,31.7,24.6,27.7,886,42,47,22,19
65,10.4307765955,5.55735774683,2011,LSMS_NGA2010,0.262629187464022,31.9,25.6,27.9,902,41,46,23,19
66,9.63134879803,6.37927524336,2011,LSMS_NGA2010,0.208325955122423,31.6,25.4,27.9,961,41,51,22,20
67,8.1299959029,4.3959858225,2011,LSMS_NGA2010,4.33333333333333,29.9,24.8,26.9,1183,43,64,23,22
68,8.32841838002,3.56125462387,2011,LSMS_NGA2010,0.814470424542709,30.2,24.9,27.1,1091,45,74,21,22
69,5.01417184373,6.54474998558,2011,LSMS_NGA2010,9.45560906729872,28.7,25.6,27.1,2357,43,95,24,27
70,5.01417184373,6.54474998558,2011,LSMS_NGA2010,8.94689753170886,28.7,25.6,27.1,2357,43,95,24,27
71,5.01417184373,6.54474998558,2011,LSMS_NGA2010,9.84473447344734,28.7,25.6,27.1,2357,43,95,24,27
72,5.14601648677,6.61622345941,2011,LSMS_NGA2010,7.30978319724502,28.8,25.6,27.1,2358,43,94,23,27
73,5.14601648677,6.61622345941,2011,LSMS_NGA2010,7.23045296661232,28.8,25.6,27.1,2358,43,94,23,27
74,5.14601648677,6.61622345941,2011,LSMS_NGA2010,8.22050290135396,28.8,25.6,27.1,2358,43,94,23,27
